Date	Time	Text	Picture
2024-12-06	9:30	🌟 Op Kölsch begröße: So mäht mer dat!🌟  So sagt man „Hallo“ auf Kölsch: Hallo! – „Daach!“ Guten Morgen! – „Jood Morje!“ Guten Abend! – „Jood Ovend!“  👉 Wie begrüßt du auf Kölsch? Schreib’s in die Kommentare! 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Begruessung.png?raw=true
2024-12-06	13:30	💬 Wusstest du?  Auf Kölsch sagt man „Daach!“ – ähnlich wie im Rheinischen.  Kennst du andere Begrüßungen aus Dialekten? Teile sie mit uns!🤗	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Wusstest%20du%20das.png?raw=true
2024-12-06	16:30	👩‍🏫Übung macht den Meister! Schreibe die Kölsche Begrüßung:  1️⃣ Guten Morgen 2️⃣ Guten Abend 3️⃣ Hallo  ✍ Antworten in die Kommentare!	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%201_Zeit%20zum%20%C3%9Cben.png?raw=true
2024-12-07	9:30	👋 Stell dich op Kölsch vor! 👋  Hier erfährst du, wie man auf Kölsch sagt, wer man ist und woher mann kommt.  🗣 Wörter und Sätze für die Vorstellung:  Ich heiße... – „Ich ben…“ Wer bist du? – „Wä bes do?“ Ich komme aus... – „Ich kumme us…“  🔎 Beispiel:  Hochdeutsch: Ich heiße Maria. Ich komme aus Köln. Und du? Kölsch: Ich ben et Maria. Ich kumme us Kölle. Un do?   Jetzt bist du dran! Stell dich auf Kölsch vor: ➡️ Schreib uns, wer du bist und woher du kommst - op Kölsch! 😊	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%202_Sich%20vorstellen.png?raw=true
2024-12-07	13:30	💬Wusstest du das?   Hast du dich schon gefragt, was das kleine Wörtchen „et“ aus unserem letzten Post bedeutet? 🤔 Keine Sorge, wir erklären es dir!  Im Kölschen steht oft ein Artikel vor Namen – typisch und herzlich!  🗣 Die Artikel vor Namen: Bei Männern: dä (z. B. „dä Peter“) Bei Frauen: et (z. B. „et Maria“)  💡 Beispiel:  „Ich ben dä Peter.“ „Ich ben et Maria.“  ✨ Klingt doch direkt viel kölscher, oder? Versuch's mal selbst! Schreib deinen Namen mit dem passenden kölschen Artikel. 👇 😊	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%202_Artikel.png?raw=true
2024-12-07	16:30	🏙Städtenamen auf Kölsch   Wusstest du, dass manche Städtenamen auf Kölsch ganz anders klingen? 🤔  Hier ein paar Beispiele:  Köln → „Kölle“ Aachen → „Oche“ Düsseldorf → „Düsseldörp“ Leverkusen → „Leverkuuse“ Essen → „Esse“ Frankfurt → „Frankfurrt“ Hamburg → „Hamborg“  Und du? Wie heißt deine Stadt auf Kölsch? Schreib’s uns! 👇😊	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%202_St%C3%A4dtenamen.png?raw=true
2024-12-08	9:30	📝 Bereit für Grammatik?  „Sin“ bedeutet „sein“ auf Kölsch! Hier ist die Konjugation:  Ich ben – Ich bin Do bes – Du bist Hä/Se/Et es – Er/Sie/Es ist  💡 Beispiel: Se es in Kölle!  - Sie ist in Köln!	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%203_Grammatik_sin.png?raw=true
2024-12-08	13:30	👨‍👩‍👧‍👧 Pluralformen von „sin“  Mer sin – Wir sind  Ehr sid – Ihr seid  Se sin – Sie sind  Mer sin (Wir sind) und Se sin (Sie sind) – nutze sie in einem Satz! 😊  👉 Beispiel: Mer sin vun Kölle. 	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%203_Grammatik_sin_pl.png?raw=true
2024-12-08	16:30	👩‍🏫Übung macht den Meister!  Übersetze ins Kölsche: 1️⃣ Wir sind glücklich. 2️⃣ Ihr seid traurig. 3️⃣ Sie sind in Köln.  📚Nutzliche Vokabeln: glücklich – jöck  traurig – trorich  ✍ Antworten in die Kommentare!	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%203_%C3%9Cbung_sin_pl.png?raw=true
2024-12-09	9:30	❓Fragen stellen!   So fragst du auf Kölsch:  Wie heißt du? – „Wat es ding Name?“ Woher kommst du? – „Vun wo küss do?“  🗣 Probier’s mal: Stell eine Frage und antworte sie auf Kölsch in den Kommentaren!👇	https://github.com/VirtuellesKoelsch/VirtuellesKoelsch/blob/main/Illustration_Esrte%20Woche/Tag%204_Fragen%20stellen.png?raw=true
